,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:26,Arunachal Pradesh,17186,16851,56,279,
1,2021-04-23 08:31:51,Arunachal Pradesh,17296,16860,56,380,110.0
2,2021-04-23 23:24:18,Arunachal Pradesh,17430,16921,56,453,134.0
3,2021-04-24 22:30:17,Arunachal Pradesh,17546,16940,56,550,116.0
4,2021-04-25 23:23:36,Arunachal Pradesh,17607,16968,58,581,61.0
5,2021-04-26 23:24:12,Arunachal Pradesh,17775,16993,58,724,168.0
6,2021-04-27 22:30:31,Arunachal Pradesh,17898,17023,58,817,123.0
7,2021-04-27 23:24:56,Arunachal Pradesh,17898,17021,58,819,0.0
8,2021-04-28 22:33:18,Arunachal Pradesh,18063,17025,58,980,165.0
9,2021-04-28 23:28:08,Arunachal Pradesh,18063,17038,58,967,0.0
10,2021-04-29 23:18:42,Arunachal Pradesh,18257,17085,59,1113,194.0
11,2021-04-30 22:26:59,Arunachal Pradesh,18420,17134,59,1227,163.0
12,2021-05-01 22:25:24,Arunachal Pradesh,18637,17190,59,1388,217.0
13,2021-05-03 11:14:14,Arunachal Pradesh,18739,17273,59,1407,102.0
14,2021-05-03 23:21:24,Arunachal Pradesh,18959,17363,59,1537,220.0
15,2021-05-04 23:52:11,Arunachal Pradesh,19193,17501,59,1633,234.0
16,2021-05-06 12:35:55,Arunachal Pradesh,19413,17577,59,1777,220.0
17,2021-05-07 10:34:01,Arunachal Pradesh,19635,17716,59,1860,222.0
18,2021-05-07 23:14:55,Arunachal Pradesh,19804,17848,60,1896,169.0
19,2021-05-08 23:52:33,Arunachal Pradesh,20048,17983,60,2005,244.0
