,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:22,Chandigarh,36404,31704,427,4273,
1,2021-04-23 20:33:03,Chandigarh,37232,32180,430,4622,828.0
2,2021-04-24 22:31:20,Chandigarh,37943,32608,433,4902,711.0
3,2021-04-25 20:31:39,Chandigarh,38692,33021,435,5236,749.0
4,2021-04-26 19:40:57,Chandigarh,39513,33498,440,5575,821.0
5,2021-04-27 19:41:24,Chandigarh,40350,33924,446,5980,837.0
6,2021-04-28 21:18:33,Chandigarh,41122,34359,457,6306,772.0
7,2021-04-29 19:31:12,Chandigarh,41923,34806,465,6652,801.0
8,2021-04-30 19:29:59,Chandigarh,42647,35263,478,6906,724.0
9,2021-05-01 21:12:03,Chandigarh,43446,35735,489,7222,799.0
10,2021-05-02 20:09:57,Chandigarh,44306,36218,496,7592,860.0
11,2021-05-03 19:32:32,Chandigarh,45196,36746,507,7943,890.0
12,2021-05-04 19:30:43,Chandigarh,45976,37288,518,8170,780.0
