,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:46:22,Chhattisgarh,588818,459600,6467,122751,
1,2021-04-23 08:31:25,Chhattisgarh,605568,477339,6674,121555,16750.0
2,2021-04-23 22:30:56,Chhattisgarh,622965,492593,6893,123479,17397.0
3,2021-04-24 23:24:39,Chhattisgarh,639696,509622,7111,122963,16731.0
4,2021-04-25 23:24:07,Chhattisgarh,652362,521217,7310,123835,12666.0
5,2021-04-26 23:24:51,Chhattisgarh,667446,538558,7536,121352,15084.0
6,2021-04-27 23:24:27,Chhattisgarh,682339,555489,7782,119068,14893.0
7,2021-04-28 23:28:39,Chhattisgarh,697902,570995,8061,118846,15563.0
8,2021-04-29 23:19:16,Chhattisgarh,713706,587484,8312,117910,15804.0
9,2021-04-30 23:17:38,Chhattisgarh,728700,601161,8581,118958,14994.0
10,2021-05-01 23:17:10,Chhattisgarh,744602,614693,8810,121099,15902.0
11,2021-05-03 11:13:43,Chhattisgarh,756427,627051,9009,120367,11825.0
12,2021-05-03 23:20:59,Chhattisgarh,771701,641449,9275,120977,15274.0
13,2021-05-04 23:08:52,Chhattisgarh,787486,653542,9485,124459,15785.0
14,2021-05-06 12:35:30,Chhattisgarh,802643,663694,9738,129211,15157.0
15,2021-05-06 22:26:35,Chhattisgarh,816489,675294,9950,131245,13846.0
16,2021-05-07 22:25:13,Chhattisgarh,830117,688918,10158,131041,13628.0
17,2021-05-08 23:52:05,Chhattisgarh,842356,701116,10381,130859,12239.0
18,2021-05-09 23:14:08,Chhattisgarh,851476,714359,10570,126547,9120.0
