,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:46:02,Delhi,930179,831928,12887,85364,
1,2021-04-22 23:54:36,Delhi,956348,851537,13193,91618,26169.0
2,2021-04-23 23:24:43,Delhi,980679,875109,13541,92029,24331.0
3,2021-04-24 23:24:30,Delhi,1004782,897804,13898,93080,24103.0
4,2021-04-25 22:29:17,Delhi,1027715,918875,14248,94592,22933.0
5,2021-04-26 23:24:42,Delhi,1047916,940930,14628,92358,20201.0
6,2021-04-27 23:24:18,Delhi,1072065,958792,15009,98264,24149.0
7,2021-04-29 11:30:27,Delhi,1098051,979250,15377,103424,25986.0
8,2021-04-29 15:38:12,Delhi,1098051,982922,15377,99752,0.0
9,2021-04-29 23:19:08,Delhi,1122286,1008537,15772,97977,24235.0
