,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:06,Goa,72224,61032,964,10228,
1,2021-04-23 21:15:25,Goa,73644,61628,976,11040,1420.0
2,2021-04-24 22:31:10,Goa,75184,62113,993,12078,1540.0
3,2021-04-25 19:30:20,Goa,77423,62771,1017,13635,2239.0
4,2021-04-25 19:42:24,Goa,77477,62771,1017,13689,54.0
5,2021-04-26 19:08:13,Goa,79798,63483,1055,15260,2321.0
6,2021-04-27 19:41:13,Goa,81908,64231,1086,16591,2110.0
7,2021-04-28 19:08:12,Goa,85009,65070,1110,18829,3101.0
8,2021-04-29 18:57:48,Goa,88028,65984,1146,20898,3019.0
9,2021-04-30 19:29:53,Goa,91052,66939,1168,22945,3024.0
10,2021-05-01 22:26:38,Goa,93355,68249,1222,23884,2303.0
11,2021-05-02 21:41:54,Goa,95385,69504,1274,24607,2030.0
12,2021-05-03 20:10:08,Goa,98088,70929,1320,25839,2703.0
13,2021-05-04 19:30:35,Goa,100902,72799,1372,26731,2814.0
14,2021-05-05 20:33:44,Goa,104398,74991,1443,27964,3496.0
15,2021-05-06 22:25:58,Goa,108267,77014,1501,29752,3869.0
16,2021-05-07 19:44:17,Goa,112462,79189,1557,31716,4195.0
17,2021-05-08 20:40:16,Goa,116213,82214,1612,32387,3751.0
18,2021-05-09 23:13:13,Goa,118846,85292,1679,31875,2633.0
19,2021-05-10 20:33:52,Goa,121650,87659,1729,32262,2804.0
20,2021-05-12 10:41:42,Goa,124774,90134,1804,32836,3124.0
21,2021-05-12 21:45:00,Goa,127639,92974,1874,32791,2865.0
22,2021-05-13 19:05:12,Goa,130130,95240,1937,32953,2491.0
23,2021-05-14 21:45:56,Goa,132585,98200,1998,32387,2455.0
24,2021-05-15 19:29:23,Goa,134542,101712,2056,30774,1957.0
25,2021-05-16 22:31:27,Goa,135856,105505,2099,28252,1314.0
26,2021-05-17 19:44:58,Goa,137418,109513,2152,25753,1562.0
27,2021-05-18 19:05:36,Goa,138776,112633,2197,23946,1358.0
28,2021-05-19 20:45:24,Goa,139985,114793,2228,22964,1209.0
29,2021-05-23 14:42:38,Goa,144839,124255,2341,18243,4854.0
30,2021-05-23 20:43:03,Goa,146460,126800,2383,17277,1621.0
31,2021-05-24 19:11:32,Goa,147861,129162,2421,16278,1401.0
32,2021-05-25 19:18:16,Goa,149410,131244,2460,15706,1549.0
33,2021-05-26 19:21:02,Goa,150897,132607,2499,15791,1487.0
34,2021-05-27 20:48:04,Goa,152401,134164,2538,15699,1504.0
35,2021-05-28 20:06:49,Goa,153456,135560,2570,15326,1055.0
36,2021-05-29 19:22:51,Goa,154419,136766,2597,15056,963.0
37,2021-05-30 19:19:03,Goa,155064,138429,2625,14010,645.0
38,2021-05-31 20:55:01,Goa,155666,140254,2649,12763,602.0
39,2021-06-01 19:39:10,Goa,156569,142031,2671,11867,903.0
40,2021-06-02 19:24:33,Goa,157275,143742,2693,10840,706.0
41,2021-06-03 19:37:23,Goa,157847,145437,2710,9700,572.0
42,2021-06-04 19:36:02,Goa,158423,146597,2727,9099,576.0
43,2021-06-05 20:08:25,Goa,158990,148030,2744,8216,567.0
44,2021-06-06 20:52:58,Goa,159393,149479,2760,7154,403.0
45,2021-06-08 08:37:36,Goa,159462,150641,2840,5981,69.0
46,2021-06-08 09:29:57,Goa,159811,150574,2840,6397,349.0
47,2021-06-08 20:21:07,Goa,160284,151531,2854,5899,473.0
48,2021-06-08 20:29:15,Goa,160284,151526,2859,5899,0.0
49,2021-06-09 18:46:51,Goa,160740,152073,2877,5790,456.0
50,2021-06-10 18:51:45,Goa,161153,152657,2891,5605,413.0
51,2021-06-11 21:05:43,Goa,161576,153476,2899,5201,423.0
52,2021-06-12 18:21:06,Goa,162048,154077,2914,5057,472.0
53,2021-06-13 18:59:33,Goa,162468,154658,2928,4882,420.0
54,2021-06-14 18:18:33,Goa,162721,155378,2937,4406,253.0
55,2021-06-15 18:11:11,Goa,163048,155926,2947,4175,327.0
56,2021-06-17 08:35:11,Goa,163358,156354,2960,4044,310.0
57,2021-06-18 08:09:01,Goa,163612,156819,2969,3824,254.0
58,2021-06-18 18:32:27,Goa,163927,157353,2975,3599,315.0
59,2021-06-19 19:22:37,Goa,164229,157772,2984,3473,302.0
60,2021-06-20 18:26:23,Goa,164436,158178,2990,3268,207.0
61,2021-06-20 22:44:46,Goa,164229,157772,2984,3473,-207.0
62,2021-06-20 23:00:57,Goa,164436,158178,2990,3268,207.0
63,2021-06-21 19:04:27,Goa,164654,158591,2997,3066,218.0
64,2021-06-22 19:09:45,Goa,164957,159029,3008,2920,303.0
65,2021-06-23 19:35:00,Goa,165197,159419,3013,2765,240.0
66,2021-06-24 18:49:21,Goa,165426,159677,3022,2727,229.0
67,2021-06-25 20:30:15,Goa,165648,159954,3027,2667,222.0
68,2021-06-26 20:06:04,Goa,165883,160247,3032,2604,235.0
69,2021-06-27 19:39:03,Goa,166098,160548,3039,2511,215.0
70,2021-06-28 18:35:47,Goa,166236,160874,3046,2316,138.0
71,2021-06-29 19:38:54,Goa,166449,161160,3048,2241,213.0
72,2021-06-30 19:40:05,Goa,166689,161361,3054,2274,240.0
73,2021-07-01 18:48:50,Goa,166920,161582,3060,2278,231.0
74,2021-07-02 19:43:52,Goa,167103,161867,3060,2176,183.0
75,2021-07-02 19:50:28,Goa,167103,161867,3062,2174,0.0
76,2021-07-03 20:34:04,Goa,167272,162074,3069,2129,169.0
77,2021-07-04 23:36:13,Goa,167436,162276,3073,2087,164.0
78,2021-07-05 18:32:18,Goa,167566,162557,3075,1934,130.0
79,2021-07-06 18:56:00,Goa,167823,162787,3079,1957,257.0
80,2021-07-07 19:17:46,Goa,168015,162983,3082,1950,192.0
81,2021-07-08 11:37:09,Goa,167823,162787,3079,1957,-192.0
82,2021-07-08 11:50:26,Goa,168015,162983,3082,1950,192.0
83,2021-07-08 18:57:55,Goa,168210,163159,3086,1965,195.0
84,2021-07-09 19:14:49,Goa,168430,163347,3088,1995,220.0
85,2021-07-10 19:17:47,Goa,168585,163530,3095,1960,155.0
86,2021-07-11 19:00:28,Goa,168716,163771,3097,1848,131.0
87,2021-07-12 18:09:26,Goa,168824,163957,3097,1770,108.0
88,2021-07-13 19:23:10,Goa,168988,164155,3101,1732,164.0
89,2021-07-14 20:03:29,Goa,169215,164326,3101,1788,227.0
90,2021-07-15 20:06:16,Goa,169341,164460,3102,1779,126.0
91,2021-07-16 21:09:54,Goa,169461,164696,3106,1659,120.0
92,2021-07-17 19:23:25,Goa,169620,164848,3109,1663,159.0
93,2021-07-18 18:44:46,Goa,169740,164848,3109,1783,120.0
94,2021-07-18 18:52:51,Goa,169740,165067,3111,1562,0.0
95,2021-07-19 18:55:39,Goa,169839,165292,3111,1436,99.0
96,2021-07-20 18:47:38,Goa,169971,165449,3113,1409,132.0
97,2021-07-21 19:42:55,Goa,170102,165571,3118,1413,131.0
98,2021-07-22 19:11:51,Goa,170199,165700,3123,1376,97.0
99,2021-07-23 20:53:50,Goa,170272,165839,3126,1307,73.0
100,2021-07-24 18:54:02,Goa,170416,166052,3126,1238,144.0
101,2021-07-25 14:59:12,Goa,170491,166201,3132,1158,75.0
102,2021-07-26 18:59:35,Goa,170581,166308,3136,1137,90.0
103,2021-07-27 18:29:36,Goa,170729,166459,3140,1130,148.0
104,2021-07-28 18:55:36,Goa,170810,166586,3142,1082,81.0
105,2021-07-29 20:42:49,Goa,170900,166679,3144,1077,90.0
106,2021-07-30 19:08:20,Goa,171052,166813,3146,1093,152.0
107,2021-07-31 21:02:18,Goa,171146,166941,3147,1058,94.0
108,2021-08-01 19:19:15,Goa,171205,167046,3148,1011,59.0
109,2021-08-02 19:07:57,Goa,171295,167118,3150,1027,90.0
110,2021-08-03 19:38:20,Goa,171396,167245,3152,999,101.0
111,2021-08-04 19:47:08,Goa,171506,167335,3153,1018,110.0
112,2021-08-05 19:14:13,Goa,171608,167423,3156,1029,102.0
113,2021-08-06 18:05:59,Goa,171705,167556,3157,992,97.0
114,2021-08-07 20:23:12,Goa,171814,167649,3159,1006,109.0
115,2021-08-08 19:36:12,Goa,171883,167736,3160,987,69.0
116,2021-08-09 18:20:23,Goa,171944,167884,3164,896,61.0
117,2021-08-10 19:58:25,Goa,172085,167978,3164,943,141.0
118,2021-08-11 19:22:09,Goa,172188,168041,3164,983,103.0
119,2021-08-12 18:36:30,Goa,172276,168117,3166,993,88.0
120,2021-08-14 16:15:19,Goa,172343,168218,3168,957,67.0
121,2021-08-14 19:36:04,Goa,172431,168338,3168,925,88.0
