,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:51:49,Jammu and Kashmir,154407,136221,2092,16094,
1,2021-04-23 19:43:07,Jammu and Kashmir,156344,137240,2111,16993,1937.0
2,2021-04-24 19:04:17,Jammu and Kashmir,158374,138184,2126,18064,2030.0
3,2021-04-25 19:30:12,Jammu and Kashmir,160755,139050,2147,19558,2381.0
4,2021-04-26 19:08:01,Jammu and Kashmir,162890,140117,2172,20601,2135.0
5,2021-04-27 19:41:01,Jammu and Kashmir,166054,141574,2197,22283,3164.0
6,2021-04-28 21:18:18,Jammu and Kashmir,169077,142537,2227,24313,3023.0
7,2021-04-29 20:13:44,Jammu and Kashmir,172551,144154,2253,26144,3474.0
8,2021-04-30 19:29:46,Jammu and Kashmir,176083,145441,2283,28359,3532.0
9,2021-05-01 23:16:24,Jammu and Kashmir,179915,147242,2330,30343,3832.0
10,2021-05-02 20:30:29,Jammu and Kashmir,183486,148695,2370,32421,3571.0
11,2021-05-03 22:28:18,Jammu and Kashmir,187219,150231,2421,34567,3733.0
12,2021-05-04 18:53:50,Jammu and Kashmir,191869,152109,2458,37302,4650.0
13,2021-05-05 20:33:34,Jammu and Kashmir,196585,154447,2510,39628,4716.0
14,2021-05-06 21:41:44,Jammu and Kashmir,201511,157283,2562,41666,4926.0
15,2021-05-07 20:32:29,Jammu and Kashmir,206954,160035,2612,44307,5443.0
16,2021-05-08 19:42:29,Jammu and Kashmir,211742,162535,2672,46535,4788.0
17,2021-05-09 21:10:36,Jammu and Kashmir,216932,164958,2726,49248,5190.0
18,2021-05-10 19:43:31,Jammu and Kashmir,220546,167813,2782,49951,3614.0
19,2021-05-12 10:41:26,Jammu and Kashmir,224898,171350,2847,50701,4352.0
20,2021-05-12 23:22:34,Jammu and Kashmir,229407,174953,2912,51542,4509.0
21,2021-05-13 19:35:01,Jammu and Kashmir,233763,177948,2967,52848,4356.0
