,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:45:45,Kerala,1322055,1160472,5029,156224,
1,2021-04-23 19:32:13,Kerala,1350502,1166135,5056,178979,28447.0
2,2021-04-24 20:11:07,Kerala,1377187,1173202,5081,198572,26685.0
3,2021-04-25 19:03:59,Kerala,1405656,1181324,5111,218889,28469.0
4,2021-04-26 19:40:22,Kerala,1427546,1189267,5139,232808,21890.0
5,2021-04-27 19:40:20,Kerala,1460365,1207680,5171,247177,32819.0
6,2021-04-28 19:07:36,Kerala,1495378,1223185,5212,266644,35013.0
7,2021-04-29 11:30:18,Kerala,1495378,1223185,5212,266642,0.0
8,2021-04-29 19:31:32,Kerala,1533985,1244301,5260,284085,38607.0
9,2021-04-30 18:56:21,Kerala,1571184,1261801,5309,303732,37199.0
10,2021-05-01 20:08:59,Kerala,1606820,1277294,5357,323827,35636.0
11,2021-05-02 19:28:51,Kerala,1638779,1293590,5406,339438,31959.0
12,2021-05-03 19:32:51,Kerala,1664790,1313109,5451,345883,26011.0
13,2021-05-04 18:18:45,Kerala,1701980,1339257,5508,356868,37190.0
14,2021-05-05 18:18:02,Kerala,1743933,1362363,5566,375657,41953.0
15,2021-05-06 18:19:30,Kerala,1786397,1389515,5629,390906,42464.0
16,2021-05-07 18:55:25,Kerala,1824857,1416177,5683,402646,38460.0
17,2021-05-08 19:28:50,Kerala,1866828,1443633,5747,417097,41971.0
18,2021-05-09 19:29:42,Kerala,1902629,1472951,5815,423512,35801.0
19,2021-05-10 19:31:08,Kerala,1930116,1504160,5880,419725,27487.0
20,2021-05-12 10:40:20,Kerala,1967406,1537138,5959,423955,37290.0
21,2021-05-12 18:29:59,Kerala,2010935,1571738,6054,432789,43529.0
22,2021-05-12 19:05:46,Kerala,2010935,1571738,6054,432787,0.0
23,2021-05-13 20:16:29,Kerala,2050890,1605471,6151,438909,39955.0
24,2021-05-14 19:40:10,Kerala,2085584,1636790,6244,442191,34694.0
25,2021-05-15 20:36:44,Kerala,2118264,1666232,6340,445333,32680.0
