,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:38,Ladakh,12739,10630,134,1975,
1,2021-04-23 09:51:48,Ladakh,12937,10761,135,2041,198.0
2,2021-04-24 11:26:33,Ladakh,13091,10920,135,2036,154.0
3,2021-04-25 10:58:34,Ladakh,13239,11131,136,1972,148.0
4,2021-04-25 12:46:12,Ladakh,13239,11129,136,1974,0.0
5,2021-04-25 13:16:20,Ladakh,13237,11129,136,1972,-2.0
6,2021-04-26 11:33:41,Ladakh,13357,11192,138,2027,120.0
7,2021-04-27 11:30:09,Ladakh,13502,11505,138,1859,145.0
8,2021-04-28 11:41:07,Ladakh,13642,11800,139,1703,140.0
9,2021-04-29 11:31:00,Ladakh,13758,11937,139,1682,116.0
10,2021-04-30 13:12:14,Ladakh,13866,12129,140,1597,108.0
11,2021-05-01 10:11:48,Ladakh,13969,12376,143,1450,103.0
12,2021-05-02 11:00:56,Ladakh,14086,12542,144,1400,117.0
13,2021-05-03 12:47:22,Ladakh,14226,12735,145,1346,140.0
14,2021-05-04 12:00:53,Ladakh,14315,12884,148,1283,89.0
15,2021-05-05 10:23:42,Ladakh,14560,13035,151,1374,245.0
16,2021-05-06 12:36:01,Ladakh,14811,13166,151,1494,251.0
17,2021-05-07 10:34:11,Ladakh,14909,13326,151,1432,98.0
18,2021-05-08 11:39:51,Ladakh,15023,13471,152,1400,114.0
19,2021-05-09 14:04:04,Ladakh,15179,13614,153,1412,156.0
20,2021-05-10 13:15:44,Ladakh,15317,13719,155,1443,138.0
21,2021-05-11 13:49:02,Ladakh,15429,13825,157,1447,112.0
22,2021-05-12 10:42:05,Ladakh,15564,13955,157,1452,135.0
23,2021-05-13 10:16:37,Ladakh,15807,14102,158,1547,243.0
24,2021-05-14 10:49:56,Ladakh,15916,14208,161,1547,109.0
25,2021-05-15 12:47:32,Ladakh,16156,14439,163,1554,240.0
26,2021-05-16 11:29:14,Ladakh,16333,14620,165,1548,177.0
27,2021-05-17 13:17:51,Ladakh,16452,14741,165,1546,119.0
28,2021-05-18 11:53:17,Ladakh,16582,14875,165,1542,130.0
29,2021-05-19 12:20:42,Ladakh,16784,15031,170,1583,202.0
30,2021-05-23 14:43:58,Ladakh,17277,15585,176,1516,493.0
31,2021-05-24 12:44:07,Ladakh,17407,15707,178,1522,130.0
32,2021-05-25 11:02:28,Ladakh,17532,15891,178,1463,125.0
33,2021-05-26 11:18:56,Ladakh,17810,16070,179,1561,278.0
34,2021-05-27 09:57:15,Ladakh,18045,16200,181,1664,235.0
35,2021-05-28 09:52:48,Ladakh,18186,16345,185,1656,141.0
36,2021-05-29 10:39:10,Ladakh,18310,16517,187,1606,124.0
37,2021-05-30 10:47:28,Ladakh,18448,16658,187,1603,138.0
38,2021-05-31 10:46:56,Ladakh,18497,16754,188,1555,49.0
39,2021-06-01 12:43:09,Ladakh,18662,16859,189,1614,165.0
40,2021-06-02 10:13:06,Ladakh,18750,16979,190,1581,88.0
41,2021-06-03 12:49:43,Ladakh,18841,17119,191,1531,91.0
42,2021-06-04 13:05:13,Ladakh,18954,17256,193,1505,113.0
43,2021-06-05 13:49:37,Ladakh,19076,17528,194,1354,122.0
44,2021-06-06 11:10:16,Ladakh,19147,17782,195,1170,71.0
45,2021-06-07 11:55:38,Ladakh,19186,17913,195,1078,39.0
46,2021-06-07 12:55:23,Ladakh,19197,17913,195,1089,11.0
47,2021-06-08 09:30:17,Ladakh,19258,18052,195,1011,61.0
48,2021-06-09 11:38:55,Ladakh,19330,18194,195,941,72.0
49,2021-06-10 12:00:46,Ladakh,19385,18265,195,925,55.0
50,2021-06-11 11:50:12,Ladakh,19475,18425,197,853,90.0
51,2021-06-12 11:15:20,Ladakh,19506,18513,197,796,31.0
52,2021-06-13 10:22:44,Ladakh,19544,18601,197,746,38.0
53,2021-06-14 11:00:43,Ladakh,19561,18706,197,658,17.0
54,2021-06-15 10:55:00,Ladakh,19611,18841,198,572,50.0
55,2021-06-16 10:51:45,Ladakh,19649,18898,199,552,38.0
56,2021-06-17 11:36:09,Ladakh,19682,18945,199,538,33.0
57,2021-06-18 09:40:20,Ladakh,19704,19022,200,482,22.0
58,2021-06-19 10:21:22,Ladakh,19730,19097,200,433,26.0
59,2021-06-20 10:07:24,Ladakh,19783,19210,201,372,53.0
60,2021-06-21 11:29:27,Ladakh,19805,19300,202,303,22.0
61,2021-06-22 10:42:47,Ladakh,19838,19331,202,305,33.0
62,2021-06-23 10:45:11,Ladakh,19871,19369,202,300,33.0
63,2021-06-24 10:03:49,Ladakh,19881,19401,202,278,10.0
64,2021-06-25 08:59:55,Ladakh,19903,19447,202,254,22.0
65,2021-06-26 09:38:23,Ladakh,19920,19485,202,233,17.0
66,2021-06-27 18:49:53,Ladakh,19941,19518,202,221,21.0
67,2021-06-28 10:17:18,Ladakh,19964,19541,202,221,23.0
68,2021-06-28 12:14:50,Ladakh,19964,19481,202,281,0.0
69,2021-06-29 10:16:45,Ladakh,20022,19512,202,308,58.0
70,2021-06-30 09:31:43,Ladakh,20038,19565,202,271,16.0
71,2021-07-01 11:36:19,Ladakh,20073,19585,202,286,35.0
72,2021-07-01 11:42:50,Ladakh,20073,19592,202,279,0.0
73,2021-07-02 16:15:07,Ladakh,20090,19626,202,262,17.0
74,2021-07-03 11:15:53,Ladakh,20099,19660,202,237,9.0
75,2021-07-04 10:48:09,Ladakh,20113,19671,202,240,14.0
76,2021-07-05 08:14:02,Ladakh,20118,19692,204,222,5.0
77,2021-07-05 11:56:34,Ladakh,20120,19690,204,226,2.0
78,2021-07-06 08:33:26,Ladakh,20129,19709,204,216,9.0
79,2021-07-07 09:45:01,Ladakh,20137,19733,204,200,8.0
80,2021-07-08 09:24:05,Ladakh,20143,19756,204,183,6.0
81,2021-07-08 09:32:12,Ladakh,20166,19733,204,229,23.0
