,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:58,Lakshadweep,1526,828,1,692,
1,2021-04-23 08:32:10,Lakshadweep,1671,862,1,803,145.0
2,2021-04-23 20:33:22,Lakshadweep,1805,879,1,920,134.0
3,2021-04-24 21:41:42,Lakshadweep,1962,912,1,1044,157.0
4,2021-04-25 19:41:52,Lakshadweep,2126,941,1,1178,164.0
5,2021-04-26 19:41:14,Lakshadweep,2247,1060,1,1179,121.0
6,2021-04-27 20:13:04,Lakshadweep,2401,1191,1,1202,154.0
7,2021-04-28 21:18:48,Lakshadweep,2504,1329,1,1167,103.0
8,2021-04-29 21:15:17,Lakshadweep,2662,1374,4,1276,158.0
9,2021-04-30 20:10:59,Lakshadweep,2767,1430,4,1324,105.0
10,2021-05-01 22:25:50,Lakshadweep,2923,1471,4,1438,156.0
11,2021-05-02 21:42:14,Lakshadweep,3010,1746,4,1247,87.0
12,2021-05-03 20:33:29,Lakshadweep,3096,1872,4,1207,86.0
13,2021-05-03 20:43:15,Lakshadweep,3096,1872,6,1205,0.0
14,2021-05-03 21:15:09,Lakshadweep,3080,1855,6,1206,-16.0
15,2021-05-04 20:36:26,Lakshadweep,3249,2065,6,1165,169.0
16,2021-05-05 22:25:58,Lakshadweep,3376,2225,7,1129,127.0
17,2021-05-07 10:34:22,Lakshadweep,3528,2359,8,1146,152.0
18,2021-05-07 20:31:45,Lakshadweep,3629,2477,9,1127,101.0
19,2021-05-08 19:28:41,Lakshadweep,3756,2692,9,1039,127.0
20,2021-05-09 23:13:46,Lakshadweep,3881,2840,9,1016,125.0
21,2021-05-10 19:43:53,Lakshadweep,3982,2964,10,992,101.0
22,2021-05-12 10:42:24,Lakshadweep,4087,3068,10,993,105.0
23,2021-05-13 10:16:51,Lakshadweep,4202,3155,11,1020,115.0
24,2021-05-13 21:44:50,Lakshadweep,4395,3272,13,1092,193.0
25,2021-05-14 22:30:07,Lakshadweep,4568,3374,13,1163,173.0
26,2021-05-15 20:11:23,Lakshadweep,4650,3469,13,1150,82.0
27,2021-05-16 23:23:14,Lakshadweep,4767,3615,14,1120,117.0
28,2021-05-17 20:34:53,Lakshadweep,4986,3744,14,1208,219.0
29,2021-05-18 22:29:44,Lakshadweep,5212,3895,15,1282,226.0
30,2021-05-19 22:31:50,Lakshadweep,5466,3954,18,1474,254.0
