,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:18,Manipur,30047,29153,381,513,
1,2021-04-24 00:08:24,Manipur,30151,29180,381,590,104.0
2,2021-04-24 22:31:16,Manipur,30281,29193,383,705,130.0
3,2021-04-25 20:10:25,Manipur,30421,29231,385,805,140.0
4,2021-04-26 19:08:20,Manipur,30567,29267,390,910,146.0
5,2021-04-27 19:41:20,Manipur,30742,29317,393,1032,175.0
6,2021-04-28 23:28:03,Manipur,31001,29376,395,1230,259.0
7,2021-04-29 21:41:37,Manipur,31315,29690,400,1225,314.0
8,2021-04-30 20:33:08,Manipur,31586,29764,405,1417,271.0
9,2021-05-01 22:26:45,Manipur,31905,29843,410,1652,319.0
10,2021-05-03 11:14:09,Manipur,32161,29923,415,1823,256.0
11,2021-05-03 22:27:12,Manipur,32523,30030,422,2071,362.0
12,2021-05-04 20:36:11,Manipur,32956,30141,424,2391,433.0
13,2021-05-05 22:25:35,Manipur,33353,30262,434,2657,397.0
14,2021-05-06 23:52:34,Manipur,33733,30295,447,2991,380.0
15,2021-05-07 19:44:26,Manipur,34333,30378,449,3506,600.0
16,2021-05-08 20:59:47,Manipur,34775,30463,461,3851,442.0
17,2021-05-09 23:13:21,Manipur,35354,30598,476,4280,579.0
18,2021-05-10 21:32:54,Manipur,35778,30685,489,4604,424.0
19,2021-05-12 10:41:48,Manipur,36370,30880,509,4981,592.0
20,2021-05-12 21:45:07,Manipur,37036,31238,526,5272,666.0
21,2021-05-13 19:49:08,Manipur,37596,31491,536,5569,560.0
22,2021-05-14 21:30:36,Manipur,38322,31491,536,6295,726.0
23,2021-05-14 21:46:02,Manipur,38322,31872,552,5898,0.0
24,2021-05-15 21:15:24,Manipur,39052,32275,562,6215,730.0
25,2021-05-16 22:31:33,Manipur,39729,32674,578,6477,677.0
26,2021-05-17 19:44:02,Manipur,40059,33129,592,6338,330.0
27,2021-05-18 20:17:31,Manipur,40683,33466,612,6605,624.0
28,2021-05-19 20:45:44,Manipur,41265,33813,635,6817,582.0
29,2021-05-23 14:43:08,Manipur,43322,36258,674,6390,2057.0
30,2021-05-23 22:21:17,Manipur,44089,36867,688,6534,767.0
31,2021-05-25 11:02:13,Manipur,44627,37478,705,6444,538.0
32,2021-05-25 19:56:48,Manipur,45451,37946,720,6785,824.0
33,2021-05-26 21:46:36,Manipur,46298,38325,730,7243,847.0
34,2021-05-27 20:48:14,Manipur,47111,38901,748,7462,813.0
35,2021-05-28 22:03:18,Manipur,47843,39480,761,7602,732.0
36,2021-05-29 21:46:17,Manipur,48850,40044,776,8030,1007.0
37,2021-05-30 20:15:16,Manipur,49882,40607,793,8482,1032.0
38,2021-06-01 11:00:39,Manipur,50751,41153,807,8791,869.0
39,2021-06-01 21:45:16,Manipur,51549,41782,825,8942,798.0
40,2021-06-02 19:24:42,Manipur,52278,42404,839,9035,729.0
41,2021-06-03 19:35:39,Manipur,52899,42995,849,9055,621.0
42,2021-06-03 20:21:09,Manipur,52899,43187,849,8863,0.0
43,2021-06-05 11:23:15,Manipur,53690,43779,863,9048,791.0
44,2021-06-05 20:08:41,Manipur,54407,44519,872,9016,717.0
45,2021-06-06 22:50:38,Manipur,55230,45165,881,9184,823.0
46,2021-06-08 08:37:45,Manipur,55828,45948,896,8984,598.0
47,2021-06-08 20:10:24,Manipur,56576,46527,908,9141,748.0
48,2021-06-09 20:43:18,Manipur,57351,47129,915,9307,775.0
49,2021-06-10 20:50:56,Manipur,58081,47797,925,9359,730.0
50,2021-06-11 21:13:46,Manipur,58768,48902,944,8922,687.0
51,2021-06-12 20:09:24,Manipur,59322,49653,959,8710,554.0
52,2021-06-13 19:43:52,Manipur,59852,50379,974,8499,530.0
53,2021-06-14 19:06:53,Manipur,60311,50878,990,8443,459.0
54,2021-06-15 20:22:28,Manipur,61096,51354,998,8744,785.0
55,2021-06-17 08:35:21,Manipur,61848,51762,1008,9078,752.0
56,2021-06-18 08:09:11,Manipur,62343,52220,1021,9102,495.0
57,2021-06-18 19:07:33,Manipur,62946,52667,1033,9246,603.0
58,2021-06-19 23:42:08,Manipur,63538,52961,1039,9538,592.0
59,2021-06-20 19:56:27,Manipur,64065,53405,1047,9613,527.0
60,2021-06-20 22:45:01,Manipur,63538,52961,1039,9538,-527.0
61,2021-06-20 23:01:12,Manipur,64065,53405,1047,9613,527.0
62,2021-06-21 20:25:41,Manipur,64418,54065,1055,9298,353.0
63,2021-06-22 20:02:39,Manipur,64993,54714,1065,9214,575.0
64,2021-06-23 19:44:26,Manipur,65622,55257,1074,9291,629.0
65,2021-06-24 21:19:34,Manipur,66171,55912,1085,9174,549.0
66,2021-06-25 21:23:40,Manipur,66756,59995,1093,5668,585.0
67,2021-06-26 20:22:37,Manipur,67317,60529,1108,5680,561.0
68,2021-06-27 19:46:01,Manipur,68651,61038,1124,6489,1334.0
69,2021-06-27 19:55:57,Manipur,67986,61038,1124,5824,-665.0
70,2021-06-28 18:52:04,Manipur,68418,61646,1130,5642,432.0
71,2021-06-29 21:06:54,Manipur,69198,62134,1141,5923,780.0
72,2021-06-30 22:25:29,Manipur,69790,62628,1150,6012,592.0
73,2021-07-01 20:37:50,Manipur,70298,63206,1162,5930,508.0
74,2021-07-02 23:25:41,Manipur,70954,63809,1175,5970,656.0
75,2021-07-03 20:34:29,Manipur,71643,64329,1188,6126,689.0
76,2021-07-05 08:13:43,Manipur,72286,64931,1196,6159,643.0
77,2021-07-05 19:18:22,Manipur,72718,65540,1204,5974,432.0
