,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:30,Meghalaya,15488,14198,157,1133,
1,2021-04-23 20:33:08,Meghalaya,15631,14236,157,1238,143.0
2,2021-04-24 22:30:20,Meghalaya,15786,14384,158,1244,155.0
3,2021-04-25 19:30:29,Meghalaya,15994,14446,160,1388,208.0
4,2021-04-26 19:07:09,Meghalaya,16124,14560,161,1403,130.0
5,2021-04-27 22:30:35,Meghalaya,16271,14650,165,1456,147.0
6,2021-04-28 14:42:10,Meghalaya,16430,14788,167,1475,159.0
7,2021-04-29 17:30:50,Meghalaya,16617,14917,169,1531,187.0
8,2021-04-30 19:30:02,Meghalaya,16846,15083,171,1592,229.0
9,2021-05-01 22:25:29,Meghalaya,17108,15275,174,1659,262.0
10,2021-05-02 19:44:18,Meghalaya,17429,15429,179,1821,321.0
11,2021-05-03 18:21:08,Meghalaya,17675,15606,185,1884,246.0
12,2021-05-04 18:54:04,Meghalaya,18014,15810,185,2019,339.0
13,2021-05-05 17:39:51,Meghalaya,18283,15957,191,2135,269.0
14,2021-05-06 16:46:00,Meghalaya,18630,16086,193,2351,347.0
15,2021-05-07 18:17:50,Meghalaya,18927,16262,199,2466,297.0
16,2021-05-08 17:29:10,Meghalaya,19302,16414,210,2678,375.0
17,2021-05-09 16:34:40,Meghalaya,19720,16593,228,2899,418.0
