,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:10,Puducherry,50580,43931,726,5923,
1,2021-04-23 12:47:54,Puducherry,51372,44314,728,6330,792.0
2,2021-04-24 12:36:37,Puducherry,52271,44767,737,6767,899.0
3,2021-04-25 12:45:59,Puducherry,53279,45243,748,7288,1008.0
4,2021-04-26 12:49:05,Puducherry,54026,45758,758,7510,747.0
5,2021-04-27 12:46:37,Puducherry,55047,46448,771,7828,1021.0
6,2021-04-28 14:41:59,Puducherry,56305,47080,781,8444,1258.0
7,2021-04-29 17:30:39,Puducherry,57427,47645,793,8989,1122.0
8,2021-05-01 00:52:01,Puducherry,58622,48298,805,9519,1195.0
9,2021-05-01 13:12:29,Puducherry,60001,48921,817,10263,1379.0
10,2021-05-02 19:44:07,Puducherry,61361,49908,833,10620,1360.0
