,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:42,Sikkim,6846,6023,136,536,
1,2021-04-23 08:31:58,Sikkim,6970,6041,137,641,124.0
2,2021-04-24 00:08:34,Sikkim,7037,6055,137,694,67.0
3,2021-04-24 23:24:09,Sikkim,7158,6069,137,798,121.0
4,2021-04-26 11:33:45,Sikkim,7306,6073,138,941,148.0
5,2021-04-26 23:24:20,Sikkim,7329,6093,140,942,23.0
6,2021-04-27 00:09:02,Sikkim,7329,6093,140,928,0.0
7,2021-04-27 22:30:42,Sikkim,7426,6133,142,983,97.0
8,2021-04-28 22:33:28,Sikkim,7577,6154,143,1106,151.0
9,2021-04-29 23:18:50,Sikkim,7747,6176,146,1247,170.0
10,2021-05-01 00:52:47,Sikkim,7952,6195,147,1432,205.0
11,2021-05-01 22:25:37,Sikkim,8211,6236,148,1647,259.0
12,2021-05-02 20:29:48,Sikkim,8441,6304,149,1808,230.0
13,2021-05-03 18:21:15,Sikkim,8468,6404,150,1723,27.0
14,2021-05-04 21:11:56,Sikkim,8698,6426,151,1930,230.0
15,2021-05-05 17:39:58,Sikkim,8919,6515,155,2050,221.0
16,2021-05-06 23:52:44,Sikkim,9183,6565,158,2261,264.0
17,2021-05-07 10:34:15,Sikkim,9183,6565,158,2256,0.0
18,2021-05-07 20:31:34,Sikkim,9451,6688,160,2398,268.0
19,2021-05-08 17:39:10,Sikkim,9651,6688,160,2598,200.0
20,2021-05-08 18:17:10,Sikkim,9651,6753,165,2528,0.0
