,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:45:58,Tamil Nadu,1037711,934966,13317,89428,
1,2021-04-23 19:32:19,Tamil Nadu,1051487,943044,13395,95048,13776.0
2,2021-04-24 20:10:20,Tamil Nadu,1066329,952186,13475,100668,14842.0
3,2021-04-25 19:30:49,Tamil Nadu,1081988,963251,13557,105180,15659.0
4,2021-04-26 20:44:32,Tamil Nadu,1097672,976876,13651,107145,15684.0
5,2021-04-27 21:16:56,Tamil Nadu,1113502,990919,13728,108855,15830.0
6,2021-04-28 19:07:43,Tamil Nadu,1130167,1006033,13826,110308,16665.0
7,2021-04-29 20:32:56,Tamil Nadu,1148064,1021575,13933,112556,17897.0
8,2021-04-30 19:30:24,Tamil Nadu,1166756,1037582,14046,115128,18692.0
9,2021-05-01 20:34:51,Tamil Nadu,1186344,1054746,14193,117405,19588.0
10,2021-05-02 19:43:37,Tamil Nadu,1207112,1072322,14346,120444,20768.0
11,2021-05-03 22:27:42,Tamil Nadu,1228064,1090338,14468,123258,20952.0
12,2021-05-04 18:53:29,Tamil Nadu,1249292,1109450,14612,125230,21228.0
13,2021-05-05 22:16:14,Tamil Nadu,1272602,1129512,14779,128311,23310.0
14,2021-05-06 19:30:08,Tamil Nadu,1297500,1151058,14974,131468,24898.0
15,2021-05-07 19:43:51,Tamil Nadu,1323965,1173439,15171,135355,26465.0
16,2021-05-08 19:42:08,Tamil Nadu,1351362,1196549,15412,139401,27397.0
17,2021-05-09 23:13:58,Tamil Nadu,1380259,1220064,15648,144547,28897.0
18,2021-05-10 19:31:18,Tamil Nadu,1409237,1240968,15880,152389,28978.0
19,2021-05-12 10:40:32,Tamil Nadu,1438509,1260150,16178,162181,29272.0
20,2021-05-12 20:17:02,Tamil Nadu,1468864,1279658,16471,172735,30355.0
21,2021-05-13 21:45:02,Tamil Nadu,1499485,1298945,16768,183772,30621.0
22,2021-05-14 20:25:05,Tamil Nadu,1531377,1318982,17056,195339,31892.0
