,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 15:53:28,Total,15931500,13449568,184679,2290773,
1,2021-04-22 19:19:53,Total,15965373,13460710,184804,2313365,33873.0
2,2021-04-22 19:37:53,Total,16005864,13474803,185011,2339556,40491.0
3,2021-04-22 20:13:03,Total,16040118,13491317,185206,2357101,34254.0
4,2021-04-22 20:34:11,Total,16104091,13517625,185505,2394464,63973.0
5,2021-04-22 20:44:16,Total,16171104,13579923,186073,2398577,67013.0
6,2021-04-22 21:14:27,Total,16193043,13593113,186184,2407213,21939.0
7,2021-04-22 21:40:37,Total,16200450,13597484,186278,2410151,7407.0
8,2021-04-22 22:29:50,Total,16204448,13601393,186297,2410063,3998.0
9,2021-04-22 23:49:22,Total,16232548,13621400,186613,2417840,28100.0
10,2021-04-23 08:32:14,Total,16257309,13641606,186928,2422080,24761.0
11,2021-04-23 09:51:58,Total,16257507,13641737,186929,2422146,198.0
12,2021-04-23 12:48:17,Total,16270642,13645218,186968,2431761,13135.0
13,2021-04-23 19:04:01,Total,16334411,13677422,187266,2463028,63769.0
14,2021-04-23 19:32:08,Total,16376634,13691163,187371,2491403,42223.0
15,2021-04-23 19:43:30,Total,16378571,13692182,187390,2492302,1937.0
16,2021-04-23 20:15:35,Total,16431795,13717779,187708,2519611,53224.0
17,2021-04-23 20:33:26,Total,16445939,13727711,187770,2523761,14144.0
18,2021-04-23 21:15:49,Total,16519812,13804309,188630,2519999,73873.0
19,2021-04-23 21:42:11,Total,16526598,13807637,188705,2523382,6786.0
20,2021-04-23 22:30:40,Total,16555849,13829225,188984,2530766,29251.0
21,2021-04-23 23:24:33,Total,16582740,13853255,189344,2533267,26891.0
22,2021-04-24 00:08:43,Total,16602456,13862119,189549,2543914,19716.0
23,2021-04-24 11:26:44,Total,16602610,13862278,189549,2543909,154.0
24,2021-04-24 12:37:00,Total,16617958,13864955,189599,2556530,15348.0
25,2021-04-24 18:22:05,Total,16655902,13888186,189821,2571021,37944.0
