,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:51:57,Uttarakhand,138010,106271,1972,26970,
1,2021-04-23 21:15:17,Uttarakhand,142349,107450,2021,29949,4339.0
2,2021-04-24 19:44:28,Uttarakhand,147433,108916,2102,33330,5084.0
3,2021-04-25 20:31:30,Uttarakhand,151801,110664,2146,35864,4368.0
4,2021-04-26 19:08:07,Uttarakhand,156859,112265,2213,39031,5058.0
5,2021-04-27 19:41:07,Uttarakhand,162562,113736,2309,43032,5703.0
6,2021-04-28 22:33:07,Uttarakhand,168616,117221,2417,45383,6054.0
7,2021-04-29 18:57:43,Uttarakhand,174867,120350,2502,48318,6251.0
8,2021-04-30 19:29:50,Uttarakhand,186772,124565,2624,55743,11905.0
9,2021-04-30 21:41:52,Uttarakhand,180521,124565,2624,49492,-6251.0
10,2021-05-01 23:16:29,Uttarakhand,186014,128209,2731,51127,5493.0
11,2021-05-02 22:26:10,Uttarakhand,191620,131144,2802,53612,5606.0
12,2021-05-03 20:10:03,Uttarakhand,197023,134488,2930,55436,5403.0
13,2021-05-04 21:40:39,Uttarakhand,204051,140184,3015,56627,7028.0
14,2021-05-05 20:33:39,Uttarakhand,211834,144941,3142,59526,7783.0
15,2021-05-06 23:18:33,Uttarakhand,220351,149489,3293,62911,8517.0
16,2021-05-07 19:44:12,Uttarakhand,229993,154132,3430,67691,9642.0
17,2021-05-08 19:28:19,Uttarakhand,238383,158903,3548,71174,8390.0
18,2021-05-09 19:30:09,Uttarakhand,244273,161634,3728,74114,5890.0
19,2021-05-10 20:12:13,Uttarakhand,249814,166521,3896,74480,5541.0
20,2021-05-12 10:41:34,Uttarakhand,256934,171454,4014,76500,7120.0
21,2021-05-12 20:16:30,Uttarakhand,264683,178459,4123,77082,7749.0
22,2021-05-13 19:35:07,Uttarakhand,271810,184207,4245,78304,7127.0
23,2021-05-14 20:25:44,Uttarakhand,277585,188690,4426,79379,5775.0
24,2021-05-15 21:44:10,Uttarakhand,283239,193496,4623,80000,5654.0
25,2021-05-16 21:43:04,Uttarakhand,287286,198530,4811,78802,4047.0
26,2021-05-17 23:23:04,Uttarakhand,291005,202177,5034,78608,3719.0
27,2021-05-18 20:36:48,Uttarakhand,295790,209196,5132,76232,4785.0
28,2021-05-19 20:45:05,Uttarakhand,300282,216529,5325,73172,4492.0
29,2021-05-23 14:42:18,Uttarakhand,310469,241430,5734,57929,10187.0
30,2021-05-23 20:42:43,Uttarakhand,313519,247603,5805,54735,3050.0
31,2021-05-24 19:49:27,Uttarakhand,315590,254654,5927,49579,2071.0
32,2021-05-25 21:30:22,Uttarakhand,318346,261328,6020,45568,2756.0
33,2021-05-26 21:46:20,Uttarakhand,321337,266182,6113,43520,2991.0
34,2021-05-27 20:47:54,Uttarakhand,323483,272488,6201,39177,2146.0
35,2021-05-28 20:06:43,Uttarakhand,325425,279516,6261,33994,1942.0
36,2021-05-29 20:17:05,Uttarakhand,327112,283962,6360,31110,1687.0
37,2021-05-30 20:53:44,Uttarakhand,328338,285889,6401,30357,1226.0
38,2021-05-31 20:54:51,Uttarakhand,329494,288928,6452,28371,1156.0
39,2021-06-01 21:44:59,Uttarakhand,330475,290990,6497,27216,981.0
40,2021-06-02 20:44:13,Uttarakhand,331478,293768,6535,25366,1003.0
41,2021-06-03 21:55:36,Uttarakhand,332067,297122,6573,22530,589.0
42,2021-06-04 23:31:34,Uttarakhand,332959,301128,6618,19371,892.0
43,2021-06-05 11:22:58,Uttarakhand,332959,301128,6631,19283,0.0
44,2021-06-05 20:08:17,Uttarakhand,333578,303659,6664,17305,619.0
45,2021-06-06 21:45:53,Uttarakhand,334024,305239,6699,16125,446.0
46,2021-06-07 20:31:51,Uttarakhand,334419,307574,6731,14122,395.0
47,2021-06-08 20:10:10,Uttarakhand,334965,310291,6797,11885,546.0
48,2021-06-09 20:43:01,Uttarakhand,335478,313379,6849,9258,513.0
49,2021-06-10 19:16:50,Uttarakhand,335866,316621,6878,6641,388.0
50,2021-06-11 19:36:12,Uttarakhand,336153,318235,6909,5277,287.0
51,2021-06-12 22:47:46,Uttarakhand,336616,318930,6928,5021,463.0
52,2021-06-13 21:51:45,Uttarakhand,336879,319663,6935,4529,263.0
53,2021-06-14 08:15:47,Uttarakhand,336879,319559,6935,4633,0.0
54,2021-06-14 21:14:23,Uttarakhand,337175,320549,6960,3908,296.0
55,2021-06-15 20:12:52,Uttarakhand,337449,321064,6985,3642,274.0
56,2021-06-16 21:18:16,Uttarakhand,337802,321462,6997,3572,353.0
57,2021-06-18 08:08:51,Uttarakhand,338066,321807,7011,3471,264.0
58,2021-06-18 19:54:24,Uttarakhand,338288,322258,7017,3231,222.0
59,2021-06-19 20:11:39,Uttarakhand,338508,322475,7026,3220,220.0
60,2021-06-20 20:18:57,Uttarakhand,338644,322681,7035,3136,136.0
61,2021-06-20 22:44:36,Uttarakhand,338508,322475,7026,3220,-136.0
62,2021-06-20 23:00:47,Uttarakhand,338644,322681,7035,3136,136.0
63,2021-06-21 20:25:25,Uttarakhand,338807,323004,7044,2964,163.0
64,2021-06-22 21:03:00,Uttarakhand,338978,323225,7052,2896,171.0
65,2021-06-23 20:10:57,Uttarakhand,339127,323377,7068,2877,149.0
66,2021-06-24 21:19:18,Uttarakhand,339245,323617,7074,2749,118.0
67,2021-06-24 21:22:19,Uttarakhand,339245,323627,7074,2739,0.0
68,2021-06-25 20:48:54,Uttarakhand,339373,323855,7083,2627,128.0
69,2021-06-26 20:14:05,Uttarakhand,339537,324127,7086,2510,164.0
70,2021-06-27 19:45:30,Uttarakhand,339619,324249,7088,2465,82.0
71,2021-06-28 22:26:37,Uttarakhand,339739,324529,7092,2294,120.0
72,2021-06-29 19:46:48,Uttarakhand,339933,324766,7095,2245,194.0
73,2021-06-30 20:32:02,Uttarakhand,340255,325009,7316,2101,322.0
74,2021-07-01 21:24:14,Uttarakhand,340379,325253,7324,1966,124.0
75,2021-07-03 10:16:06,Uttarakhand,340488,325361,7327,1864,109.0
76,2021-07-03 21:47:26,Uttarakhand,340646,325548,7331,1821,158.0
77,2021-07-04 23:35:57,Uttarakhand,340724,325692,7333,1749,78.0
78,2021-07-05 20:23:11,Uttarakhand,340793,325942,7335,1555,69.0
79,2021-07-06 19:54:30,Uttarakhand,340882,326043,7338,1538,89.0
80,2021-07-07 20:05:50,Uttarakhand,340959,326147,7338,1506,77.0
81,2021-07-08 11:36:59,Uttarakhand,340882,326043,7338,1538,-77.0
82,2021-07-08 11:50:17,Uttarakhand,340959,326147,7338,1506,77.0
83,2021-07-08 19:06:12,Uttarakhand,341023,326267,7338,1445,64.0
84,2021-07-09 21:33:37,Uttarakhand,341088,326451,7338,1319,65.0
85,2021-07-10 20:35:18,Uttarakhand,341137,326651,7338,1165,49.0
86,2021-07-11 20:23:11,Uttarakhand,341179,326763,7339,1094,42.0
87,2021-07-12 20:06:47,Uttarakhand,341230,326968,7341,932,51.0
88,2021-07-13 20:03:17,Uttarakhand,341274,327107,7351,824,44.0
89,2021-07-13 20:18:05,Uttarakhand,341274,327112,7351,819,0.0
90,2021-07-14 20:11:39,Uttarakhand,341307,327252,7352,711,33.0
91,2021-07-15 20:06:09,Uttarakhand,341362,327314,7354,692,55.0
92,2021-07-16 21:09:41,Uttarakhand,341401,327346,7355,698,39.0
93,2021-07-17 20:26:09,Uttarakhand,341433,327412,7356,656,32.0
94,2021-07-18 19:19:28,Uttarakhand,341452,327464,7356,623,19.0
95,2021-07-19 20:02:54,Uttarakhand,341486,327511,7357,604,34.0
96,2021-07-20 19:50:50,Uttarakhand,341536,327544,7357,620,50.0
97,2021-07-21 19:42:47,Uttarakhand,341573,327558,7357,643,37.0
98,2021-07-22 20:21:47,Uttarakhand,341629,327606,7359,649,56.0
99,2021-07-23 20:12:18,Uttarakhand,341640,327664,7359,606,11.0
100,2021-07-24 19:22:04,Uttarakhand,341673,327692,7359,611,33.0
101,2021-07-25 14:43:01,Uttarakhand,341724,327716,7359,637,51.0
102,2021-07-26 19:40:10,Uttarakhand,341778,327766,7359,638,54.0
103,2021-07-27 22:26:09,Uttarakhand,341874,327818,7361,659,96.0
104,2021-07-28 21:45:40,Uttarakhand,341934,327864,7361,672,60.0
105,2021-07-29 19:54:03,Uttarakhand,341982,327915,7361,669,48.0
106,2021-07-30 20:49:22,Uttarakhand,342023,327979,7362,645,41.0
107,2021-08-01 14:11:52,Uttarakhand,342139,328108,7362,632,116.0
108,2021-08-01 19:54:41,Uttarakhand,342161,328153,7362,609,22.0
109,2021-08-02 21:14:28,Uttarakhand,342198,328224,7363,574,37.0
110,2021-08-03 19:57:48,Uttarakhand,342246,328262,7366,581,48.0
111,2021-08-04 19:58:23,Uttarakhand,342283,328304,7366,576,37.0
112,2021-08-05 19:23:34,Uttarakhand,342307,328371,7366,533,24.0
113,2021-08-06 20:27:00,Uttarakhand,342336,328419,7367,513,29.0
114,2021-08-07 20:39:50,Uttarakhand,342374,328476,7367,492,38.0
115,2021-08-08 19:54:33,Uttarakhand,342392,328522,7367,463,18.0
116,2021-08-09 20:56:08,Uttarakhand,342423,328569,7368,446,31.0
117,2021-08-10 20:06:12,Uttarakhand,342462,328610,7368,444,39.0
118,2021-08-11 20:07:42,Uttarakhand,342502,328658,7369,435,40.0
119,2021-08-12 20:31:40,Uttarakhand,342526,328695,7369,418,24.0
120,2021-08-14 16:15:11,Uttarakhand,342553,328735,7370,401,27.0
121,2021-08-14 20:01:12,Uttarakhand,342572,328759,7370,395,19.0
122,2021-08-15 21:05:02,Uttarakhand,342588,328790,7370,380,16.0
123,2021-08-16 21:06:32,Uttarakhand,342606,328844,7371,342,18.0
124,2021-08-17 21:26:43,Uttarakhand,342637,328885,7373,330,31.0
125,2021-08-18 20:02:44,Uttarakhand,342668,328914,7374,331,31.0
126,2021-08-20 09:35:40,Uttarakhand,342701,328934,7376,342,33.0
