,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:46:10,West Bengal,700904,621340,10766,68798,
1,2021-04-23 20:33:38,West Bengal,713780,628218,10825,74737,12876.0
2,2021-04-24 21:13:52,West Bengal,728061,635802,10884,81375,14281.0
3,2021-04-25 21:13:26,West Bengal,743950,644209,10941,88800,15889.0
4,2021-04-26 20:44:42,West Bengal,759942,653984,11009,94949,15992.0
5,2021-04-27 21:17:03,West Bengal,776345,664648,11082,100615,16403.0
6,2021-04-28 21:18:02,West Bengal,793552,676581,11159,105812,17207.0
7,2021-04-29 20:33:02,West Bengal,810955,689466,11248,110241,17403.0
8,2021-04-30 20:33:33,West Bengal,828366,703398,11344,113624,17411.0
9,2021-05-01 20:08:14,West Bengal,845878,717772,11447,116659,17512.0
10,2021-05-02 20:10:31,West Bengal,863393,733359,11539,118495,17515.0
